                                                   Title ;  Year ;                   Original Title ;   Format ;  disneyClassicNo ;  Note;      Genre;  Cover;     IMDB ID
                              Snehvit og de syv dvergene ;   1937;  Snow white and the seven dwarfs ;  Blu-ray ;                 1;      ;  Animation;       ;   Pinocchio ;                1940;          Pinocchio ;            Blu-ray ;                   2;                    ;           Animation;                    ;
                                                Fantasia ;   1940;                         Fantasia ;  Blu-ray ;                 3;      ;  Animation;       ;
                                                   Dumbo ;   1941;                            Dumbo ;      DVD ;                 4;      ;  Animation;       ;
                                                   Bambi ;   1942;                            Bambi ;      DVD ;                 5;      ;  Animation;       ;
                                          Saludos Amigos ;   1942;                   Saludos Amigos ;      DVD ;                 6;      ;  Animation;       ;
                                    The Three Caballeros ;   1944;             The Three Caballeros ;      DVD ;                 7;      ;  Animation;       ;
                                         Make Mine Music ;   1946;                  Make Mine Music ;      DVD ;                 8;      ;  Animation;       ;
                                           GÃ¸y og gammen ;   1947;               Fun and fancy free ;      DVD ;                 9;      ;  Animation;       ;   tt0039404
                                    Jafar vender tilbake ;   1994;               The return of Jafar;      DVD ;                  ;      ;  Animation;       ;
                            Pixar Short Films Collection ;   2007;     Pixar Short Films Collection ;      DVD ;                  ;      ;  Animation;       ;   tt4439852
  Pirates of the caribbean: The curse of the black pearl ;   2003;                                  ;      DVD ;                  ;      ;  Adventure;       ;
